author,datePublished,summary,title
,"May 31, 2019 /  10:24 AM / 3 days ago","BEIJING/SHANGHAI (Reuters) - Chinese electric vehicle (EV) maker Nio Inc is keen to build a production base in Beijing and will likely seek a manufacturing partner, Chief Executive Officer and founder William Li said this week. ","EV maker Nio plans Beijing plant, will likely seek a partner: CEO"
Jan  Wolfe,"May 31, 2019 /  11:04 AM / 3 days ago","(Reuters) - A rare public call by a U.S. Federal Trade Commission (FTC) official for one of the agency’s courtroom victories to be reversed, in a case of anticompetitive business practices by chipmaker Qualcomm Inc, charts a strong course for a judge’s ruling to be overturned on appeal, some legal experts said. ",Qualcomm has strong argument to win reversal of U.S. antitrust ruling: legal experts
"Alexandria Sage,Arjun Panchadar","May 30, 2019 /  8:09 PM / 3 days ago","SAN FRANCISCO/BENGALURU (Reuters) - Uber Technologies Inc reported a $1 billion loss on Thursday as the ride-hailing service spends heavily to build up its food delivery and freight businesses, sending revenues up 20% in its first quarterly report as a public company. ","Uber loses $1 billion in quarter as costs grow for drivers, food delivery"
Jonathan Stempel,"May 31, 2019 /  4:20 PM / 3 days ago","(Reuters) - A U.S. judge ordered Facebook Inc to give shareholders emails and other records concerning how the social media company handles data privacy, after data for 87 million users was accessed by the British political consulting firm Cambridge Analytica. ",Facebook ordered by U.S. judge to turn over data privacy records
David Brunnstrom,"May 31, 2019 /  5:34 AM / 3 days ago","BERLIN (Reuters) - The United States raised the pressure on Western allies in a war of attrition over next-generation networks on Friday, saying countries that allow China’s Huawei to build their telecoms infrastructure could be cut off from crucial intelligence data. ",Pompeo tells Germany: Use Huawei and lose access to our data
Tyler Choi,"May 31, 2019 /  11:15 AM / 3 days ago","TORONTO (Reuters) - Canada’s Digital Charter lacks sufficient legal enforcement power to effectively protect privacy and regulate use of personal data, according to critics worried that a smart city project in Toronto by Alphabet’s Sidewalk Labs unit could be misused for mass surveillance. ",Canada's Digital Charter does not comfort Alphabet's smart-city critics
Padraic Halpin,"May 31, 2019 /  9:35 AM / 3 days ago","DUBLIN (Reuters) - The European Court of Justice (ECJ) will hear a landmark privacy case regarding the transfer of EU citizens’ data to the United States in July, after Facebook’s bid to stop its referral was blocked by Ireland’s Supreme Court on Friday. ",Irish Supreme Court rejects Facebook bid to block ECJ data case
Sarah N. Lynch,"May 30, 2019 /  9:35 PM / 3 days ago","WASHINGTON (Reuters) - U.S. Attorney General William Barr said Special Counsel Robert Mueller, who led a probe into Russian interference in the 2016 presidential election, could have reached a decision on whether President Donald Trump obstructed justice, but chose not to.  ",Attorney General Barr says Mueller 'could've reached a decision' on obstruction
"Angela Moon,Sheila  Dang,Diane Bartz","May 30, 2019 /  10:50 PM / 3 days ago","(Reuters) - Amazon.com Inc is interested in buying prepaid cellphone wireless service Boost Mobile from U.S. carriers T-Mobile US Inc and Sprint Corp, two sources familiar with the matter said on Thursday. ","Exclusive: Amazon interested in buying Boost from T-Mobile, Sprint - sources"
"Steve Holland,Frank Jack Daniel","May 30, 2019 /  12:41 PM / 3 days ago","WASHINGTON/MEXICO CITY (Reuters) - U.S. President Donald Trump, responding to a surge of illegal immigrants across the southern border, vowed on Thursday to impose a tariff on all goods coming from Mexico, starting at 5% and ratcheting much higher until the flow of people ceases. ","Trump vows rapid, high tariffs on Mexico unless illegal immigration ends"
,"May 31, 2019 /  5:12 PM / 3 days ago",WASHINGTON (Reuters) - The top Republican on the U.S. House committee that oversees trade said on Friday it was in the interest of both the United States and Mexico to reach an agreement on immigration before U.S. President Donald Trump hits Mexican products with tariffs. ,Influential U.S. Republican wants immigration deal to head off tariffs
,"June 3, 2019 /  6:59 AM / Updated 12 hours ago",(Reuters) - Food and biopharma product testing company Eurofins Scientific said on Monday that some of its IT systems were affected by a form of ransomware during the weekend.  ,Eurofins Scientific detects ransomware in some of its IT systems
,"June 2, 2019 /  11:11 PM / Updated 8 hours ago",LONDON (Reuters) - Online retail giant Amazon said it would open pop-up shops in Britain to give more than 100 small online businesses an opportunity to sell on the high street for the first time. ,Amazon brings online sellers to UK high street in pop-up stores
